gene	score	logfoldchange	pval	pval_adj	pct_within	pct_outside	cluster
Sftpc	66.85385	10.321328	0.0	0.0	0.9990880072959416	0.031315240083507306	AT2 cells
Sftpb	66.4542	7.613451	0.0	0.0	0.9986320109439124	0.04175365344467641	AT2 cells
Sftpa1	66.44493	8.0985565	0.0	0.0	0.9986320109439124	0.044676409185803755	AT2 cells
Sftpd	63.29159	6.583517	0.0	0.0	0.9612403100775194	0.04258872651356994	AT2 cells
Slc34a2	63.27995	7.022497	0.0	0.0	0.9548563611491108	0.024008350730688934	AT2 cells
Cxcl15	63.184116	7.018664	0.0	0.0	0.95531235750114	0.026096033402922755	AT2 cells
Npc2	59.963493	5.036829	0.0	0.0	0.9347925216598267	0.10960334029227557	AT2 cells
Lyz2	59.554947	4.986463	0.0	0.0	0.9872321021431828	0.2521920668058455	AT2 cells
Chi3l1	58.098396	6.555416	0.0	0.0	0.8800729594163247	0.025887265135699375	AT2 cells
Scd1	54.165077	6.758205	0.0	0.0	0.8207934336525308	0.019832985386221295	AT2 cells
Napsa	53.270065	4.750273	0.0	0.0	0.8376652986776105	0.06805845511482254	AT2 cells
Hc	52.064243	6.3867364	0.0	0.0	0.7897856817145463	0.017954070981210855	AT2 cells
Lamp3	50.733856	6.27528	0.0	0.0	0.7697218422252622	0.018997912317327767	AT2 cells
Sfta2	46.31729	6.1328626	0.0	0.0	0.7036023711810305	0.016075156576200417	AT2 cells
Rnase4	45.012558	4.1945095	0.0	0.0	0.7268581851345189	0.05636743215031315	AT2 cells
Lpcat1	43.015934	6.6332855	0.0	0.0	0.6493388052895577	0.009394572025052192	AT2 cells
Atp1b1	42.371628	3.7819605	0.0	0.0	0.7008663930688555	0.09394572025052192	AT2 cells
S100g	41.695675	5.772969	0.0	0.0	0.6370269037847697	0.01649269311064718	AT2 cells
Ager	40.007816	5.7182293	0.0	0.0	0.6092111263109895	0.012943632567849687	AT2 cells
Wfdc2	39.33304	2.6553283	0.0	0.0	0.7537619699042407	0.15803757828810022	AT2 cells
Ctsh	38.813595	3.4333057	0.0	0.0	0.6607387140902873	0.10313152400835073	AT2 cells
Cbr2	37.635593	2.3348613	5.62959305933895e-310	4.1509682040577935e-307	0.8540811673506612	0.19457202505219207	AT2 cells
Dram1	37.504955	5.995543	7.647918783760819e-308	5.404210610574989e-305	0.5695394436844505	0.010438413361169102	AT2 cells
Fasn	36.89385	6.0217934	5.799220884616059e-298	3.9339594792881496e-295	0.5604195166438668	0.01127348643006263	AT2 cells
Neat1	36.737167	3.7071948	1.8637614434477449e-295	1.2156742430550118e-292	0.6096671226630187	0.06784968684759916	AT2 cells
Alcam	35.74447	3.369912	8.063282291532714e-280	5.064637199337159e-277	0.6092111263109895	0.0941544885177453	AT2 cells
Cldn18	35.232277	5.2764025	6.41019121418128e-272	3.748635613837942e-269	0.5417236662106704	0.018580375782881003	AT2 cells
Selenbp1	33.85748	2.9713714	2.816951390775597e-251	1.592422621205445e-248	0.6000911992704059	0.09582463465553236	AT2 cells
Cd36	33.808712	2.3464668	1.468759074802457e-250	8.035059725669312e-248	0.6621067031463749	0.1444676409185804	AT2 cells
Lgi3	32.46165	5.9786615	3.709778230753085e-231	1.9064887580406535e-228	0.49293205654354766	0.009812108559498956	AT2 cells
Abca3	32.154934	6.106925	7.535209125651838e-227	3.758517987115574e-224	0.48700410396716826	0.0077244258872651355	AT2 cells
mt-Nd2	31.381807	1.8038692	3.58390519343346e-216	1.736555662155373e-213	0.7496580027359782	0.3048016701461378	AT2 cells
Lcn2	30.437735	4.8470798	1.7408299744344542e-203	8.200759871231642e-201	0.4692202462380301	0.013987473903966596	AT2 cells
Wbp5	29.975807	4.0493884	2.0288940097909077e-197	9.299463111363245e-195	0.4851801185590515	0.04697286012526096	AT2 cells
Elovl1	29.715324	4.9519796	4.8680343702167574e-194	2.172552496960684e-191	0.46010031919744643	0.016701461377870562	AT2 cells
Fabp5	28.844517	3.6936798	5.936344660530253e-183	2.516861727448314e-180	0.4746922024623803	0.04613778705636743	AT2 cells
Rgcc	28.681278	4.9319944	6.532452343891885e-181	2.7020453487820114e-178	0.4432284541723666	0.015240083507306889	AT2 cells
